Date,Description,Amount,Balance
2025-01-02,Saldovortrag,,32500.00
2025-01-31,Lohn Swisscom AG,+6223.08,38723.08
2025-01-31,Miete Carl-Spittelerstrasse 67,-1650.00,37073.08
2025-02-05,Coop Witikon,-72.30,37000.78
2025-02-15,ZVV Monatsabo,-85.00,36915.78
2025-02-28,Lohn Swisscom AG,+6223.08,43138.86
2025-02-28,Miete Carl-Spittelerstrasse 67,-1650.00,41488.86
2025-03-10,Galaxus,-129.00,41359.86
2025-03-31,Lohn Swisscom AG,+6223.08,47582.94
2025-03-31,Miete Carl-Spittelerstrasse 67,-1650.00,45932.94
2025-04-15,Spotify Premium,-12.95,45919.99
2025-04-30,Lohn Swisscom AG,+6223.08,52143.07
2025-04-30,Miete Carl-Spittelerstrasse 67,-1650.00,50493.07
2025-05-20,Aegean Airlines Zürich-Thessaloniki,-245.00,50248.07
2025-05-31,Lohn Swisscom AG,+6223.08,56471.15
2025-05-31,Miete Carl-Spittelerstrasse 67,-1650.00,54821.15
2025-06-15,Migros Witikon,-54.80,54766.35
2025-06-30,Lohn Swisscom AG,+6223.08,60989.43
2025-06-30,Miete Carl-Spittelerstrasse 67,-1650.00,59339.43
2025-06-30,Zinsabschluss 1. HJ,+3.85,59343.28
2025-07-31,Lohn Swisscom AG,+6223.08,65566.36
2025-07-31,Miete Carl-Spittelerstrasse 67,-1650.00,63916.36
2025-08-05,Frankly Säule 3a Einzahlung,-7056.00,56860.36
2025-08-31,Lohn Swisscom AG,+6223.08,63083.44
2025-08-31,Miete Carl-Spittelerstrasse 67,-1650.00,61433.44
2025-09-12,Digitec,-199.00,61234.44
2025-09-30,Lohn Swisscom AG,+6223.08,67457.52
2025-09-30,Miete Carl-Spittelerstrasse 67,-1650.00,65807.52
2025-10-31,Lohn Swisscom AG,+6223.08,72030.60
2025-10-31,Miete Carl-Spittelerstrasse 67,-1650.00,70380.60
2025-11-15,Coop City,-88.50,70292.10
2025-11-30,Lohn Swisscom AG,+6223.08,76515.18
2025-11-30,Miete Carl-Spittelerstrasse 67,-1650.00,74865.18
2025-12-20,Weihnachtsgeschenke,-150.00,74715.18
2025-12-31,Lohn Swisscom AG,+6223.08,80938.26
2025-12-31,Miete Carl-Spittelerstrasse 67,-1650.00,79288.26
2025-12-31,Zinsabschluss 2. HJ,+4.10,79292.36
