# Bank: UBS Switzerland AG
# Account holder: Anna Meier
# IBAN: CH44 0023 0230 1234 5678 9
# Period: 2025-01-01 to 2025-12-31
Date,Description,Amount,Balance
2025-01-31,Lohn Google Switzerland,+11833.33,45230.50
2025-01-31,Miete Bederstrasse 45,-2100.00,43130.50
2025-02-01,Coop Enge,-87.50,43043.00
2025-02-03,Spotify Premium,-12.95,43030.05
2025-02-15,Zalando,-149.00,42881.05
2025-02-28,Lohn Google Switzerland,+11833.33,54714.38
2025-03-01,Spende SRK,-200.00,54514.38
2025-03-15,Migros Enge,-63.20,54451.18
2025-03-31,Lohn Google Switzerland,+11833.33,66284.51
2025-03-31,Miete Bederstrasse 45,-2100.00,64184.51
2025-04-05,SBB Ticket Bern,-34.00,64150.51
2025-04-30,Lohn Google Switzerland,+11833.33,75983.84
2025-04-30,Miete Bederstrasse 45,-2100.00,73883.84
2025-05-10,Digitec,-289.00,73594.84
2025-05-31,Lohn Google Switzerland,+11833.33,85428.17
2025-05-31,Miete Bederstrasse 45,-2100.00,83328.17
2025-06-15,Coop Pronto,-22.40,83305.77
2025-06-30,Lohn Google Switzerland,+11833.33,95139.10
2025-06-30,Miete Bederstrasse 45,-2100.00,93039.10
2025-06-30,Zinsabschluss 1. HJ,+6.25,93045.35
2025-07-20,Flug Zurich-Lissabon (easyJet),-189.00,92856.35
2025-07-31,Lohn Google Switzerland,+11833.33,104689.68
2025-07-31,Miete Bederstrasse 45,-2100.00,102589.68
2025-08-31,Lohn Google Switzerland,+11833.33,114423.01
2025-08-31,Miete Bederstrasse 45,-2100.00,112323.01
2025-09-12,Apple Store,-79.00,112244.01
2025-09-30,Lohn Google Switzerland,+11833.33,124077.34
2025-09-30,Miete Bederstrasse 45,-2100.00,121977.34
2025-10-31,Lohn Google Switzerland,+11833.33,133810.67
2025-10-31,Miete Bederstrasse 45,-2100.00,131710.67
2025-11-15,Galaxus,-56.90,131653.77
2025-11-30,Lohn Google Switzerland,+11833.33,143487.10
2025-11-30,Miete Bederstrasse 45,-2100.00,141387.10
2025-12-20,Weihnachtsgeschenke Bucherer,-320.00,141067.10
2025-12-31,Lohn Google Switzerland,+11833.33,152900.43
2025-12-31,Miete Bederstrasse 45,-2100.00,150800.43
2025-12-31,Zinsabschluss 2. HJ,+6.25,150806.68
