Date,Description,Amount,Balance
2025-01-02,Saldovortrag,,15200.00
2025-01-31,Lohn UZH,+3644.00,18844.00
2025-01-31,Miete WG Universitätstrasse,-850.00,17994.00
2025-02-05,Orell Füssli Fachbücher,-145.00,17849.00
2025-02-10,Migros Zentrum,-62.30,17786.70
2025-02-28,Lohn UZH,+3644.00,21430.70
2025-02-28,Miete WG Universitätstrasse,-850.00,20580.70
2025-03-15,Konferenzgebühr ACM,-180.00,20400.70
2025-03-31,Lohn UZH,+3644.00,24044.70
2025-03-31,Miete WG Universitätstrasse,-850.00,23194.70
2025-04-10,Laptop-Reparatur,-250.00,22944.70
2025-04-30,Lohn UZH,+3644.00,26588.70
2025-04-30,Miete WG Universitätstrasse,-850.00,25738.70
2025-05-15,Coop Uni,-48.90,25689.80
2025-05-31,Lohn UZH,+3644.00,29333.80
2025-05-31,Miete WG Universitätstrasse,-850.00,28483.80
2025-06-10,UZH Semestergebühr,-780.00,27703.80
2025-06-30,Lohn UZH,+3644.00,31347.80
2025-06-30,Miete WG Universitätstrasse,-850.00,30497.80
2025-06-30,Zinsabschluss 1. HJ,+2.10,30499.90
2025-07-15,SBB Halbtax Erneuerung,-185.00,30314.90
2025-07-31,Lohn UZH,+3644.00,33958.90
2025-07-31,Miete WG Universitätstrasse,-850.00,33108.90
2025-08-20,Ferien Interrail,-420.00,32688.90
2025-08-31,Lohn UZH,+3644.00,36332.90
2025-08-31,Miete WG Universitätstrasse,-850.00,35482.90
2025-09-05,Fachbücher Online,-95.00,35387.90
2025-09-30,Lohn UZH,+3644.00,39031.90
2025-09-30,Miete WG Universitätstrasse,-850.00,38181.90
2025-10-15,Digitec Kopfhörer,-79.00,38102.90
2025-10-31,Lohn UZH,+3644.00,41746.90
2025-10-31,Miete WG Universitätstrasse,-850.00,40896.90
2025-11-10,UZH Semestergebühr,-780.00,40116.90
2025-11-30,Lohn UZH,+3644.00,43760.90
2025-11-30,Miete WG Universitätstrasse,-850.00,42910.90
2025-12-15,Weihnachtsgeschenke,-120.00,42790.90
2025-12-31,Lohn UZH,+3644.00,46434.90
2025-12-31,Miete WG Universitätstrasse,-850.00,45584.90
2025-12-31,Zinsabschluss 2. HJ,+2.40,45587.30
