Date,Description,Amount,Balance
2025-01-02,Saldovortrag,,195000.00
2025-01-15,Mieteinnahme Forchstrasse 22,+3000.00,198000.00
2025-01-31,Restaurantumsatz Januar,+22300.00,220300.00
2025-01-31,Warenlieferant Pistor,-7200.00,213100.00
2025-01-31,Personalkosten Januar,-6000.00,207100.00
2025-01-31,Miete Geschäftslokal,-2000.00,205100.00
2025-02-15,Mieteinnahme Forchstrasse 22,+3000.00,208100.00
2025-02-28,Restaurantumsatz Februar,+20500.00,228600.00
2025-02-28,Warenlieferant Pistor,-6800.00,221800.00
2025-02-28,Personalkosten Februar,-6000.00,215800.00
2025-02-28,Miete Geschäftslokal,-2000.00,213800.00
2025-03-15,Mieteinnahme Forchstrasse 22,+3000.00,216800.00
2025-03-31,Restaurantumsatz März,+23100.00,239900.00
2025-03-31,Warenlieferant Pistor,-7400.00,232500.00
2025-03-31,Personalkosten März,-6000.00,226500.00
2025-03-31,Miete Geschäftslokal,-2000.00,224500.00
2025-04-15,Mieteinnahme Forchstrasse 22,+3000.00,227500.00
2025-04-30,Restaurantumsatz April,+21800.00,249300.00
2025-04-30,Warenlieferant,-6900.00,242400.00
2025-04-30,Personalkosten April,-6000.00,236400.00
2025-04-30,Miete Geschäftslokal,-2000.00,234400.00
2025-05-15,Mieteinnahme Forchstrasse 22,+3000.00,237400.00
2025-05-31,Restaurantumsatz Mai,+24200.00,261600.00
2025-05-31,Warenlieferant,-7600.00,254000.00
2025-05-31,Personalkosten Mai,-6000.00,248000.00
2025-05-31,Miete Geschäftslokal,-2000.00,246000.00
2025-06-15,Mieteinnahme Forchstrasse 22,+3000.00,249000.00
2025-06-30,Restaurantumsatz Juni,+23500.00,272500.00
2025-06-30,Warenlieferant,-7100.00,265400.00
2025-06-30,Personalkosten Juni,-6000.00,259400.00
2025-06-30,Miete Geschäftslokal,-2000.00,257400.00
2025-06-30,Zinsabschluss 1. HJ,+18.50,257418.50
2025-07-15,Mieteinnahme Forchstrasse 22,+3000.00,260418.50
2025-07-31,Restaurantumsatz Juli,+25100.00,285518.50
2025-07-31,Warenlieferant,-8000.00,277518.50
2025-07-31,Personalkosten Juli,-6000.00,271518.50
2025-07-31,Miete Geschäftslokal,-2000.00,269518.50
2025-08-15,Mieteinnahme Forchstrasse 22,+3000.00,272518.50
2025-08-20,Liegenschaftsunterhalt Forchstrasse,-4200.00,268318.50
2025-08-31,Restaurantumsatz August,+22000.00,290318.50
2025-08-31,Warenlieferant,-6500.00,283818.50
2025-08-31,Personalkosten August,-6000.00,277818.50
2025-08-31,Miete Geschäftslokal,-2000.00,275818.50
2025-09-15,Mieteinnahme Forchstrasse 22,+3000.00,278818.50
2025-09-30,Restaurantumsatz September,+22800.00,301618.50
2025-09-30,Warenlieferant,-7000.00,294618.50
2025-09-30,Personalkosten September,-6000.00,288618.50
2025-09-30,Miete Geschäftslokal,-2000.00,286618.50
2025-10-15,Mieteinnahme Forchstrasse 22,+3000.00,289618.50
2025-10-31,Restaurantumsatz Oktober,+21500.00,311118.50
2025-10-31,Warenlieferant,-6800.00,304318.50
2025-10-31,Personalkosten Oktober,-6000.00,298318.50
2025-10-31,Miete Geschäftslokal,-2000.00,296318.50
2025-11-15,Mieteinnahme Forchstrasse 22,+3000.00,299318.50
2025-11-30,Restaurantumsatz November,+20200.00,319518.50
2025-11-30,Warenlieferant,-6200.00,313318.50
2025-11-30,Personalkosten November,-6000.00,307318.50
2025-11-30,Miete Geschäftslokal,-2000.00,305318.50
2025-12-15,Mieteinnahme Forchstrasse 22,+3000.00,308318.50
2025-12-31,Restaurantumsatz Dezember,+23000.00,331318.50
2025-12-31,Warenlieferant,-7500.00,323818.50
2025-12-31,Personalkosten Dezember,-6000.00,317818.50
2025-12-31,Miete Geschäftslokal,-2000.00,315818.50
2025-12-31,AHV-Beiträge Selbständige,-8245.00,307573.50
2025-12-31,Zinsabschluss 2. HJ,+22.30,307595.80
