# Bank: Raiffeisen Schweiz
# Account holder: Marco & Laura Bernasconi
# Period: 2025-01-01 to 2025-12-31
Date,Description,Amount,Balance
2025-01-31,Lohn ABB Schweiz AG (Marco),+9833.33,82500.00
2025-01-31,Lohn USZ (Laura),+4333.33,86833.33
2025-01-31,Hypothekarzins Winterthur,-980.00,85853.33
2025-01-31,Miete Nebenkosten,-320.00,85533.33
2025-02-05,Migros Winterthur,-156.80,85376.53
2025-02-10,KiTa Sonnenschein (Luca),-1500.00,83876.53
2025-02-15,Coop Winterthur,-98.40,83778.13
2025-02-28,Lohn ABB Schweiz AG (Marco),+9833.33,93611.46
2025-02-28,Lohn USZ (Laura),+4333.33,97944.79
2025-02-28,Hypothekarzins Winterthur,-980.00,96964.79
2025-03-10,KiTa Sonnenschein (Luca),-1500.00,95464.79
2025-03-15,Zalando,-89.90,95374.89
2025-03-20,SBB Halbtax Erneuerung,-185.00,95189.89
2025-03-31,Lohn ABB Schweiz AG (Marco),+9833.33,105023.22
2025-03-31,Lohn USZ (Laura),+4333.33,109356.55
2025-03-31,Hypothekarzins Winterthur,-980.00,108376.55
2025-04-10,KiTa Sonnenschein (Luca),-1500.00,106876.55
2025-04-15,Physiosuisse Mitgliedsbeitrag (Laura),-450.00,106426.55
2025-04-30,Lohn ABB Schweiz AG (Marco),+9833.33,116259.88
2025-04-30,Lohn USZ (Laura),+4333.33,120593.21
2025-04-30,Hypothekarzins Winterthur,-980.00,119613.21
2025-05-10,KiTa Sonnenschein (Luca),-1500.00,118113.21
2025-05-15,Digitec,-349.00,117764.21
2025-05-31,Lohn ABB Schweiz AG (Marco),+9833.33,127597.54
2025-05-31,Lohn USZ (Laura),+4333.33,131930.87
2025-05-31,Hypothekarzins Winterthur,-980.00,130950.87
2025-06-10,KiTa Sonnenschein (Luca),-1500.00,129450.87
2025-06-15,Ferien Gardasee,-1200.00,128250.87
2025-06-30,Lohn ABB Schweiz AG (Marco),+9833.33,138084.20
2025-06-30,Lohn USZ (Laura),+4333.33,142417.53
2025-06-30,Hypothekarzins Winterthur,-980.00,141437.53
2025-06-30,Zinsabschluss 1. HJ,+18.75,141456.28
2025-07-10,KiTa Sonnenschein (Luca),-1500.00,139956.28
2025-07-31,Lohn ABB Schweiz AG (Marco),+9833.33,149789.61
2025-07-31,Lohn USZ (Laura),+4333.33,154122.94
2025-07-31,Hypothekarzins Winterthur,-980.00,153142.94
2025-08-10,KiTa Sonnenschein (Luca),-1500.00,151642.94
2025-08-31,Lohn ABB Schweiz AG (Marco),+9833.33,161476.27
2025-08-31,Lohn USZ (Laura),+4333.33,165809.60
2025-08-31,Hypothekarzins Winterthur,-980.00,164829.60
2025-09-10,KiTa Sonnenschein (Luca),-1500.00,163329.60
2025-09-30,Lohn ABB Schweiz AG (Marco),+9833.33,173162.93
2025-09-30,Lohn USZ (Laura),+4333.33,177496.26
2025-09-30,Hypothekarzins Winterthur,-980.00,176516.26
2025-10-10,KiTa Sonnenschein (Luca),-1500.00,175016.26
2025-10-31,Lohn ABB Schweiz AG (Marco),+9833.33,184849.59
2025-10-31,Lohn USZ (Laura),+4333.33,189182.92
2025-10-31,Hypothekarzins Winterthur,-980.00,188202.92
2025-11-10,KiTa Sonnenschein (Luca),-1500.00,186702.92
2025-11-30,Lohn ABB Schweiz AG (Marco),+9833.33,196536.25
2025-11-30,Lohn USZ (Laura),+4333.33,200869.58
2025-11-30,Hypothekarzins Winterthur,-980.00,199889.58
2025-12-01,3a Einzahlung M. Bernasconi,-4500.00,195389.58
2025-12-01,3a Einzahlung L. Bernasconi,-3000.00,192389.58
2025-12-10,KiTa Sonnenschein (Luca),-1500.00,190889.58
2025-12-20,Weihnachtsgeschenke,-450.00,190439.58
2025-12-31,Lohn ABB Schweiz AG (Marco),+9833.33,200272.91
2025-12-31,Lohn USZ (Laura),+4333.33,204606.24
2025-12-31,Hypothekarzins Winterthur,-980.00,203626.24
2025-12-31,Zinsabschluss 2. HJ,+18.75,203644.99
