# Bank: UBS Switzerland AG
# Account holder: Priya Chakraborty
# Period: 2025-01-01 to 2025-12-31
Date,Description,Amount,Balance
2025-01-31,Lohn Swiss Re Management Ltd.,+9933.75,52340.00
2025-01-31,Miete Militärstrasse 76,-1850.00,50490.00
2025-02-05,Coop Zürich,-72.30,50417.70
2025-02-15,Spotify Premium,-12.95,50404.75
2025-02-28,Lohn Swiss Re Management Ltd.,+9933.75,60338.50
2025-03-05,Eingang DataFlow GmbH (Freelance),+5000.00,65338.50
2025-03-15,Transfer to India (Family Support),-800.00,64538.50
2025-03-20,Migros Klubschule — Deutsch B2 Kurs,-890.00,63648.50
2025-03-31,Lohn Swiss Re Management Ltd.,+9933.75,73582.25
2025-03-31,Miete Militärstrasse 76,-1850.00,71732.25
2025-04-10,Digitec — MacBook Pro M3,-1800.00,69932.25
2025-04-30,Lohn Swiss Re Management Ltd.,+9933.75,79866.00
2025-04-30,Miete Militärstrasse 76,-1850.00,78016.00
2025-05-15,GitHub Copilot (Annual),-228.00,77788.00
2025-05-31,Lohn Swiss Re Management Ltd.,+9933.75,87721.75
2025-05-31,Miete Militärstrasse 76,-1850.00,85871.75
2025-06-10,Eingang Roche Diagnostics (Freelance),+7000.00,92871.75
2025-06-15,AWS Services,-186.00,92685.75
2025-06-30,Lohn Swiss Re Management Ltd.,+9933.75,102619.50
2025-06-30,Miete Militärstrasse 76,-1850.00,100769.50
2025-06-30,Zinsabschluss 1. HJ,+8.40,100777.90
2025-07-15,Transfer to India (Family Support),-800.00,99977.90
2025-07-20,Flug Zürich-Mumbai (Air India),-980.00,98997.90
2025-07-31,Lohn Swiss Re Management Ltd.,+9933.75,108931.65
2025-07-31,Miete Militärstrasse 76,-1850.00,107081.65
2025-08-15,Weights & Biases (Annual),-186.00,106895.65
2025-08-31,Lohn Swiss Re Management Ltd.,+9933.75,116829.40
2025-08-31,Miete Militärstrasse 76,-1850.00,114979.40
2025-09-15,Eingang Swisscom Digital (Freelance),+6000.00,120979.40
2025-09-30,Lohn Swiss Re Management Ltd.,+9933.75,130913.15
2025-09-30,Miete Militärstrasse 76,-1850.00,129063.15
2025-10-01,Spende Médecins Sans Frontières,-500.00,128563.15
2025-10-15,Transfer to India (Family Support),-800.00,127763.15
2025-10-31,Lohn Swiss Re Management Ltd.,+9933.75,137696.90
2025-10-31,Miete Militärstrasse 76,-1850.00,135846.90
2025-11-15,Monitor stand + keyboard + cables,-300.00,135546.90
2025-11-30,Lohn Swiss Re Management Ltd.,+9933.75,145480.65
2025-11-30,Miete Militärstrasse 76,-1850.00,143630.65
2025-12-05,Eingang Novartis Pharma (Freelance),+4000.00,147630.65
2025-12-10,3a Einzahlung Finpension,-7056.00,140574.65
2025-12-15,Weihnachtsgeschenke,-280.00,140294.65
2025-12-31,Lohn Swiss Re Management Ltd.,+9933.75,150228.40
2025-12-31,Miete Militärstrasse 76,-1850.00,148378.40
2025-12-31,Zinsabschluss 2. HJ,+8.40,148386.80
