Date,Description,Amount,Balance
2025-01-02,Saldovortrag,,58200.00
2025-01-31,Lohn Migros,+7158.92,65358.92
2025-01-31,Miete Langstrasse 120,-1980.00,63378.92
2025-01-31,Alimente Ex-Ehemann,-1500.00,61878.92
2025-02-10,Coop Langstrasse,-95.60,61783.32
2025-02-15,Kinderkrippe Sonnenschein,-650.00,61133.32
2025-02-28,Lohn Migros,+7158.92,68292.24
2025-02-28,Miete Langstrasse 120,-1980.00,66312.24
2025-02-28,Alimente Ex-Ehemann,-1500.00,64812.24
2025-03-15,H&M Kids,-89.00,64723.24
2025-03-31,Lohn Migros,+7158.92,71882.16
2025-03-31,Miete Langstrasse 120,-1980.00,69902.16
2025-03-31,Alimente Ex-Ehemann,-1500.00,68402.16
2025-04-05,Swissquote Wertschriftenkauf,-2000.00,66402.16
2025-04-30,Lohn Migros,+7158.92,73561.08
2025-04-30,Miete Langstrasse 120,-1980.00,71581.08
2025-04-30,Alimente Ex-Ehemann,-1500.00,70081.08
2025-05-20,Schulausflug Lena,-45.00,70036.08
2025-05-31,Lohn Migros,+7158.92,77195.00
2025-05-31,Miete Langstrasse 120,-1980.00,75215.00
2025-05-31,Alimente Ex-Ehemann,-1500.00,73715.00
2025-06-15,Migros Online,-112.30,73602.70
2025-06-30,Lohn Migros,+7158.92,80761.62
2025-06-30,Miete Langstrasse 120,-1980.00,78781.62
2025-06-30,Alimente Ex-Ehemann,-1500.00,77281.62
2025-06-30,Zinsabschluss 1. HJ,+5.20,77286.82
2025-07-10,Swiss Life Versicherung,-320.00,76966.82
2025-07-31,Lohn Migros,+7158.92,84125.74
2025-07-31,Miete Langstrasse 120,-1980.00,82145.74
2025-07-31,Alimente Ex-Ehemann,-1500.00,80645.74
2025-08-15,Ferien Mallorca,-1800.00,78845.74
2025-08-31,Lohn Migros,+7158.92,86004.66
2025-08-31,Miete Langstrasse 120,-1980.00,84024.66
2025-08-31,Alimente Ex-Ehemann,-1500.00,82524.66
2025-09-05,Schulmaterial Lena,-125.00,82399.66
2025-09-30,Lohn Migros,+7158.92,89558.58
2025-09-30,Miete Langstrasse 120,-1980.00,87578.58
2025-09-30,Alimente Ex-Ehemann,-1500.00,86078.58
2025-10-20,Swissquote Dividende,+180.00,86258.58
2025-10-31,Lohn Migros,+7158.92,93417.50
2025-10-31,Miete Langstrasse 120,-1980.00,91437.50
2025-10-31,Alimente Ex-Ehemann,-1500.00,89937.50
2025-11-15,Globus,-210.00,89727.50
2025-11-30,Lohn Migros,+7158.92,96886.42
2025-11-30,Miete Langstrasse 120,-1980.00,94906.42
2025-11-30,Alimente Ex-Ehemann,-1500.00,93406.42
2025-12-15,Weihnachtsgeschenke,-350.00,93056.42
2025-12-31,Lohn Migros,+7158.92,100215.34
2025-12-31,Miete Langstrasse 120,-1980.00,98235.34
2025-12-31,Alimente Ex-Ehemann,-1500.00,96735.34
2025-12-31,Zinsabschluss 2. HJ,+5.50,96740.84
