Date,Description,Amount,Balance
2025-01-31,Lohn Zurich Insurance Group AG (Thomas),+10596.00,285400.00
2025-01-31,Lohn ZB Zürich (Elisabeth),+2796.17,288196.17
2025-01-31,Nebenkosten Seestrasse 142,-420.00,287776.17
2025-02-15,Migros Küsnacht,-134.50,287641.67
2025-02-28,Lohn Zurich Insurance Group AG (Thomas),+10596.00,298237.67
2025-02-28,Lohn ZB Zürich (Elisabeth),+2796.17,301033.84
2025-03-15,Dr. med. R. Keller Zahnarzt,-2800.00,298233.84
2025-03-31,Lohn Zurich Insurance Group AG (Thomas),+10596.00,308829.84
2025-03-31,Lohn ZB Zürich (Elisabeth),+2796.17,311626.01
2025-04-15,Coop Küsnacht,-98.70,311527.31
2025-04-30,Lohn Zurich Insurance Group AG (Thomas),+10596.00,322123.31
2025-04-30,Lohn ZB Zürich (Elisabeth),+2796.17,324919.48
2025-05-22,TopPharm Apotheke Küsnacht,-900.00,324019.48
2025-05-31,Lohn Zurich Insurance Group AG (Thomas),+10596.00,334615.48
2025-05-31,Lohn ZB Zürich (Elisabeth),+2796.17,337411.65
2025-06-15,Ferien Mallorca,-3200.00,334211.65
2025-06-30,Lohn Zurich Insurance Group AG (Thomas),+10596.00,344807.65
2025-06-30,Lohn ZB Zürich (Elisabeth),+2796.17,347603.82
2025-06-30,Zinsabschluss 1. HJ,+22.50,347626.32
2025-07-15,Gartenpflege Küsnacht,-450.00,347176.32
2025-07-31,Lohn Zurich Insurance Group AG (Thomas),+10596.00,357772.32
2025-07-31,Lohn ZB Zürich (Elisabeth),+2796.17,360568.49
2025-08-31,Lohn Zurich Insurance Group AG (Thomas),+10596.00,371164.49
2025-08-31,Lohn ZB Zürich (Elisabeth),+2796.17,373960.66
2025-09-01,Kapitalbezug Pensionskasse Zurich Insurance,+250000.00,623960.66
2025-09-10,Physiotherapie Küsnacht,-1500.00,622460.66
2025-09-30,AHV-Rente (Thomas),+2390.00,624850.66
2025-09-30,BVG-Rente Zurich Insurance PK (Thomas),+3200.00,628050.66
2025-09-30,Lohn ZB Zürich (Elisabeth),+2796.17,630846.83
2025-10-15,Globus Zürich,-320.00,630526.83
2025-10-31,AHV-Rente (Thomas),+2390.00,632916.83
2025-10-31,BVG-Rente Zurich Insurance PK (Thomas),+3200.00,636116.83
2025-10-31,Lohn ZB Zürich (Elisabeth),+2796.17,638913.00
2025-11-15,Hauswartung / Reparatur Heizung,-1800.00,637113.00
2025-11-30,AHV-Rente (Thomas),+2390.00,639503.00
2025-11-30,BVG-Rente Zurich Insurance PK (Thomas),+3200.00,642703.00
2025-11-30,Lohn ZB Zürich (Elisabeth),+2796.17,645499.17
2025-12-10,3a Einzahlung E. Widmer (Frankly),-7056.00,638443.17
2025-12-20,Weihnachtsgeschenke,-580.00,637863.17
2025-12-31,AHV-Rente (Thomas),+2390.00,640253.17
2025-12-31,BVG-Rente Zurich Insurance PK (Thomas),+3200.00,643453.17
2025-12-31,Lohn ZB Zürich (Elisabeth),+2796.17,646249.34
2025-12-31,Zinsabschluss 2. HJ,+22.50,646271.84
